model,variable,lead_h,crps,rmse,spread,spread_skill,n_inits
mme4,u850,66,0.0,0.0,0.0,0.0,0
mme4,v850,66,0.0,0.0,0.0,0.0,0
mme4,t850,66,0.0,0.0,0.0,0.0,0
mme4,z500,66,0.0,0.0,0.0,0.0,0
mme4,wind_speed,66,0.0,0.0,0.0,0.0,0
mme4,u10,72,0.396777784781461,0.846443388343516,0.5776041676984967,0.6823896029584023,181
mme4,v10,72,0.42556871726559237,0.914882139277063,0.6200272157705949,0.6777126682793683,181
mme4,t2m,72,0.22607707689037332,0.5738005335159724,0.47190561939998227,0.8224210188658638,181
mme4,msl,72,43.86900097127916,104.34844367938805,79.99071418382844,0.7665731405597285,181
mme4,u850,72,0.6175665419852154,1.239185750813774,0.8241620277831567,0.6650835254052341,181
mme4,v850,72,0.6555133978551819,1.3468157790642417,0.8863592822907379,0.6581147147730733,181
mme4,t850,72,0.31496231964529997,0.6724052616904453,0.4765056366749231,0.7086583996635821,181
mme4,z500,72,41.606536662108645,97.94682952712255,75.58202056463251,0.7716637784963017,181
mme4,wind_speed,72,0.36994007831240366,0.7808278937366128,0.5408320043297762,0.6926391957408844,181
mme4,u10,78,0.0,0.0,0.0,0.0,0
mme4,v10,78,0.0,0.0,0.0,0.0,0
mme4,t2m,78,0.0,0.0,0.0,0.0,0
mme4,msl,78,0.0,0.0,0.0,0.0,0
mme4,u850,78,0.0,0.0,0.0,0.0,0
mme4,v850,78,0.0,0.0,0.0,0.0,0
mme4,t850,78,0.0,0.0,0.0,0.0,0
mme4,z500,78,0.0,0.0,0.0,0.0,0
mme4,wind_speed,78,0.0,0.0,0.0,0.0,0
mme4,u10,84,0.45264626448613016,0.9925311797231601,0.684546460762867,0.6896976888462112,181
mme4,v10,84,0.48831696373898653,1.080679206558354,0.7348849019292969,0.6800213212852403,181
mme4,t2m,84,0.24589316585433,0.6358305601125264,0.5328025402943732,0.8379630890973222,181
mme4,msl,84,53.49277492743119,130.15301876173493,97.95860467563018,0.7526418181276182,181
mme4,u850,84,0.7083334128631127,1.4524525700353128,0.9830893956495254,0.6768478475174057,181
mme4,v850,84,0.7588765283921792,1.5811603576438862,1.0473095728547535,0.6623677148188607,181
mme4,t850,84,0.3533807671781852,0.7758899284989794,0.5594488332943363,0.721041494090063,181
mme4,z500,84,51.62417596834571,124.76232159862202,94.26934515178533,0.7555914633831767,181
mme4,wind_speed,84,0.4206372198706119,0.9066336988085542,0.6319273667440889,0.6970040575091478,181
mme4,u10,90,0.0,0.0,0.0,0.0,0
mme4,v10,90,0.0,0.0,0.0,0.0,0
mme4,t2m,90,0.0,0.0,0.0,0.0,0
mme4,msl,90,0.0,0.0,0.0,0.0,0
mme4,u850,90,0.0,0.0,0.0,0.0,0
mme4,v850,90,0.0,0.0,0.0,0.0,0
mme4,t850,90,0.0,0.0,0.0,0.0,0
mme4,z500,90,0.0,0.0,0.0,0.0,0
mme4,wind_speed,90,0.0,0.0,0.0,0.0,0
mme4,u10,96,0.5254100938523198,1.1638692377021957,0.8048306759549768,0.6915129723197584,181
mme4,v10,96,0.56556533422869,1.264208792322907,0.8690566265780623,0.6874312470025014,181
mme4,t2m,96,0.28231944882439813,0.7223838689577514,0.565841667065963,0.7832977609014913,181
mme4,msl,96,64.81116799686231,159.57480419011407,118.06334559825244,0.7398620740752673,181
mme4,u850,96,0.8036935510847205,1.674122724085223,1.1404270743796838,0.6812087656254937,181
mme4,v850,96,0.8534274091637781,1.8223962243749292,1.2262328125495279,0.6728683895128889,181
mme4,t850,96,0.40487107368902214,0.8931335088956421,0.6363771090191372,0.7125218152502377,181
mme4,z500,96,63.22846213952732,155.27051059448917,115.27387785516392,0.7424067674783262,181
mme4,wind_speed,96,0.4822595116738167,1.0454789680012024,0.7330393544218158,0.7011516987503594,181
mme4,u10,102,0.0,0.0,0.0,0.0,0
mme4,v10,102,0.0,0.0,0.0,0.0,0
mme4,t2m,102,0.0,0.0,0.0,0.0,0
mme4,msl,102,0.0,0.0,0.0,0.0,0
mme4,u850,102,0.0,0.0,0.0,0.0,0
mme4,v850,102,0.0,0.0,0.0,0.0,0
mme4,t850,102,0.0,0.0,0.0,0.0,0
mme4,z500,102,0.0,0.0,0.0,0.0,0
mme4,wind_speed,102,0.0,0.0,0.0,0.0,0
mme4,u10,108,0.5915926398152451,1.336137716941412,0.9252038265460104,0.6924464557919365,181
mme4,v10,108,0.6378497465595582,1.4503331612486865,1.0023232408650014,0.6910986162669244,181
mme4,t2m,108,0.3045848941725297,0.7974078806724337,0.6400178950794494,0.8026229870461509,181
